item_id,product_id,item_name
ITM-0001,37a3dc27,Beef Bone Full
ITM-0002,3777ef4d,Akher Sugar - 1 kg
ITM-0003,6c3e3d2e,Green Chilli (kg)
ITM-0004,86c335d6,Onion Deshi (New) - kg
ITM-0005,0f2a3082,Shrimp Fish Bagda
ITM-0006,62c24b21,Teer Sugar - 1 kg
ITM-0007,eafe7b98,ACI Pure Salt - 1 kg
ITM-0008,02fbd618,Prince Lacha Semai - 200 g (Pkt)
ITM-0009,9521821a,Sweet Pumpkin (kg)
ITM-0010,4b9c3033,Lassa Special Semai - 500 g (Pkt)
ITM-0011,c962701c,Pointed Gourd (Potol) - kg
ITM-0012,341eb330,Lady's Finger (Vendi) - kg
ITM-0013,39195a5e,Potato Deshi New - 1 kg
ITM-0014,82cf57c7,Carrot (China) - kg
ITM-0015,dd8176d1,Cow Liver - kg
ITM-0016,6fae1f4d,Wheel 2-in-1 Clean & Fresh Powder - 1 kg
ITM-0017,b46611c0,Milk Vita Liquid Milk - 1 L
ITM-0018,88572a54,Snickers Chocolate - 50 g
ITM-0019,1035de42,Vermicelli Semai - 200 g
ITM-0020,44c31506,Coca-Cola - 2.25 L (Pet)
ITM-0021,f8840b47,Malta (Yellow) - kg
ITM-0022,cc4ed807,Tomato LC - kg
ITM-0023,c33ac439,Capsicum Green
ITM-0024,c793ee63,Garlic China Big - kg
ITM-0025,fbd8e07a,Prince Bread (Special) - 400 g
ITM-0026,544c3435,Green Papaya - kg
ITM-0027,82cfd918,Diploma Milk Powder - 500 g
ITM-0028,ece5f4de,Chicken (Skinless)
ITM-0029,b50f7124,Special Chinigura Rice - 1 kg
ITM-0030,b17eaa1a,Cucumber (Hybrid) - kg
ITM-0031,19118851,Vim Bar Lemon - 300 g
ITM-0032,56626184,Apple Green
ITM-0033,6f668165,Musur Pulse Kangaroo (Special) - 1 kg
ITM-0034,daca6592,Prince Sour Curd - 500 g
ITM-0035,501840c4,Bottle Gourd Big (Lau) - pc
ITM-0036,c9b61960,Rui Fish Medium (MNK)
ITM-0037,7011409b,Pabda Fish Small (HB)
ITM-0038,5fab00ac,Snake Gourd (Chichinga) - kg
ITM-0039,492b77f5,Bitter Gourd (Usta) - kg
ITM-0040,8dcfa829,Apple (Gala)
ITM-0041,c62b85d1,Chicken (Deshi)
ITM-0042,2a20bfd8,Ginger Burmese - kg
ITM-0043,7d5c5ea0,Grapes (Red)
ITM-0044,ef3fbd8a,Wheel Laundry Soap - 125 g
ITM-0045,2a1aaa9e,Kachki Fish (THR)
ITM-0046,b5d67857,Buldak Noodles (All)
ITM-0047,31f6f976,Akher Sugar - 2 kg
ITM-0048,15c89ceb,Chicken Deshi (Pakistani) Cock
ITM-0049,f342f2a3,Cow Stomach - kg
ITM-0050,1d8b7cbf,Cucumber Deshi - kg
ITM-0051,c9c3f8d7,Bashundhara Paper Napkin - 100 pcs
ITM-0052,6819c55a,Brinjal Oval (Tal Begun) - kg
ITM-0053,a758b511,Vim Bar Lemon - 125 g
ITM-0054,5bd037a1,Apple Fuji
